,0
2,True
3,False
4,True
5,True
6,False
8,False
9,False
10,False
11,False
14,False
16,True
17,False
19,True
21,False
22,False
24,True
25,False
26,False
27,False
29,False
30,False
32,False
35,False
36,True
37,False
38,True
40,True
41,True
42,False
43,False
44,False
45,False
47,False
48,False
49,False
50,True
51,False
52,False
53,False
55,True
56,True
57,False
59,True
60,False
61,False
62,False
64,False
66,False
67,False
68,False
70,False
71,False
72,False
73,False
74,False
75,True
76,False
78,False
80,False
81,False
84,False
85,True
86,True
87,True
88,False
90,True
91,True
92,False
93,False
94,False
95,False
96,False
98,False
99,False
101,False
102,False
103,False
104,False
108,False
109,False
110,True
111,True
112,True
113,False
116,False
117,False
118,False
119,False
120,False
121,True
122,False
123,False
124,False
125,True
126,False
127,False
128,False
130,False
132,False
133,False
134,True
135,False
136,False
137,True
138,False
139,True
141,False
142,False
146,True
148,False
149,True
150,False
151,False
152,True
153,False
155,True
157,False
158,False
159,False
160,False
161,True
162,False
163,False
164,False
165,True
166,False
167,True
168,False
170,False
171,False
172,False
173,False
174,False
175,True
176,False
177,True
178,False
179,False
180,True
181,False
182,False
183,False
185,False
186,False
187,False
188,False
189,False
190,False
194,True
195,False
196,False
197,False
198,False
199,False
200,False
201,False
203,False
204,False
205,True
206,False
207,False
208,True
209,False
211,False
212,False
213,True
214,False
215,False
216,False
217,False
218,False
219,False
220,False
221,False
222,False
223,False
224,False
225,False
226,False
227,False
228,True
229,False
231,False
234,False
236,False
238,False
239,False
240,True
241,False
242,False
243,False
244,False
245,False
246,False
247,False
248,False
249,False
250,False
251,False
252,True
254,False
255,False
256,False
257,False
258,False
259,False
260,False
261,False
263,False
264,False
266,True
267,False
268,False
269,False
270,False
271,False
272,False
273,False
274,False
275,False
276,False
277,False
278,False
279,False
280,True
281,False
283,False
284,False
285,True
287,False
288,True
289,False
290,False
291,False
292,False
293,False
294,False
295,False
297,False
298,False
300,False
301,False
302,False
303,False
304,False
305,False
306,False
307,False
309,False
310,False
311,False
312,True
314,True
315,False
316,True
318,False
319,False
320,False
321,False
322,False
324,False
325,False
327,False
328,False
329,False
330,False
334,False
335,True
336,False
338,False
339,False
340,False
341,False
342,False
344,False
347,False
350,False
351,False
352,False
353,False
354,False
355,False
356,False
357,True
358,False
359,False
360,False
362,True
363,False
365,False
366,False
368,False
369,False
371,True
372,True
373,False
375,False
376,False
377,False
379,False
381,False
385,False
386,False
387,False
388,False
389,False
390,False
391,False
392,False
393,True
394,True
395,False
396,False
397,False
398,False
400,False
401,True
403,False
404,True
405,False
406,False
409,True
410,False
411,False
413,False
415,False
416,True
417,True
418,False
419,False
420,False
422,False
423,False
424,False
425,False
426,False
427,False
428,True
429,False
430,False
431,True
432,False
434,False
436,False
437,False
439,False
440,False
442,False
443,True
444,False
445,False
448,False
449,False
450,True
451,False
452,False
453,False
454,False
455,False
457,True
458,True
459,True
460,False
461,True
462,False
463,False
464,False
465,False
466,False
468,False
469,False
471,False
472,False
473,True
475,False
476,False
477,False
478,False
479,True
481,False
482,False
483,False
485,False
486,False
488,False
489,False
490,False
491,False
492,True
493,False
494,False
495,True
497,False
498,True
499,False
500,False
501,True
502,False
503,False
505,False
508,False
509,False
510,False
511,False
512,False
513,True
514,False
515,True
516,True
517,False
518,True
519,False
520,False
521,False
522,False
524,False
526,False
528,False
531,False
533,True
534,False
535,False
536,False
537,False
538,True
539,True
540,False
541,True
542,True
543,False
544,False
545,False
546,False
547,False
548,False
549,False
550,True
551,False
552,False
555,True
556,False
560,False
561,False
562,False
563,False
564,False
565,False
567,False
568,False
569,False
570,False
571,True
572,False
573,True
574,False
576,False
577,False
578,False
579,True
580,False
581,False
582,True
583,False
584,False
585,False
586,False
587,False
588,True
589,False
590,False
591,False
592,False
596,False
597,True
598,False
599,False
600,False
601,False
602,True
604,False
605,True
607,False
608,False
609,True
610,False
611,False
612,False
613,False
614,False
615,True
616,True
617,False
618,True
619,False
620,False
621,False
622,False
623,False
625,False
627,True
628,False
629,False
632,False
633,False
634,False
635,False
636,False
637,False
640,False
641,False
642,False
643,True
644,False
646,False
647,False
648,False
649,True
650,False
651,False
652,True
653,False
654,False
655,True
657,False
658,False
659,True
660,False
661,False
662,False
663,False
665,False
666,False
667,False
668,False
669,False
670,False
671,False
672,False
673,False
674,False
675,True
677,False
678,False
680,False
681,True
682,False
683,False
684,True
686,False
687,False
688,False
689,False
690,False
692,False
693,False
694,False
695,False
697,False
698,False
699,False
700,False
702,True
703,False
704,True
705,False
706,False
707,False
709,True
710,False
711,False
712,False
713,False
714,False
715,False
716,False
717,False
718,False
719,True
720,True
721,False
722,False
723,True
724,False
725,False
726,False
727,False
729,True
730,False
731,False
733,False
734,False
735,False
736,False
737,False
738,False
739,True
740,False
741,False
742,False
743,False
744,False
745,False
746,False
748,False
749,False
750,False
751,False
752,True
753,False
754,False
755,True
756,False
758,True
759,False
760,False
761,False
762,False
763,False
764,False
765,True
766,False
767,False
768,True
769,False
770,True
771,True
772,True
773,False
774,False
776,True
777,True
778,False
779,False
781,False
783,True
784,True
785,False
786,False
787,False
788,False
789,False
790,False
791,False
792,False
793,False
794,False
795,False
796,False
797,False
798,False
799,False
800,False
801,False
802,True
803,False
804,False
806,False
808,False
810,False
811,False
812,True
813,True
814,False
815,False
816,False
817,False
818,False
819,True
820,False
822,False
823,False
827,False
828,True
829,False
830,True
832,True
833,False
834,False
835,False
836,False
837,False
838,False
840,False
842,False
843,False
844,True
846,True
847,False
848,False
850,False
851,False
852,True
853,True
854,False
855,False
857,False
858,False
859,False
860,False
861,False
862,False
863,False
864,False
865,False
866,False
867,False
869,False
870,False
871,False
872,False
873,False
874,False
876,True
877,False
878,False
879,False
880,False
882,False
883,False
884,False
885,False
886,False
887,False
888,True
889,False
890,False
891,False
892,True
893,False
895,False
896,False
897,False
898,False
899,False
900,False
901,False
902,True
903,False
904,True
905,False
907,False
908,False
909,True
910,True
912,False
913,False
914,False
915,True
916,False
917,True
918,False
919,False
920,False
921,False
922,True
923,False
924,False
925,False
926,False
927,False
928,False
929,False
931,True
