,0
3461877,False
3466211,False
3467726,False
3467931,True
3473951,False
3477221,False
3477241,False
3477254,False
3481077,False
3493548,False
3503672,False
3519994,False
3520253,True
3527251,False
3532833,False
3536250,True
3538691,True
3545779,True
3547601,False
3550211,False
3551171,False
3554298,False
3559310,False
3560903,False
3562962,False
3564147,False
3564762,False
3565676,True
3566833,False
3572119,False
3572730,False
3583546,False
3584029,False
3585110,True
3585731,False
3587183,True
3587711,True
3591650,False
3592192,True
3600812,False
3604873,False
3609004,True
3613451,False
3613972,False
3616552,False
3625687,True
3626634,False
3628165,False
3630744,False
3631277,False
3642004,False
3644168,False
3647844,True
3648264,True
3651384,True
3651864,False
3657664,False
3657921,False
3658884,False
3695595,False
3701667,True
3702964,False
3710184,False
3711607,True
3712665,False
3716930,True
3718136,False
3729690,False
3734508,False
3736587,False
3737464,False
3753349,False
3766695,True
3771484,False
3772398,False
3780024,True
3780914,False
3802711,True
3808540,False
3821826,False
3839198,False
3842804,False
3858423,False
3864465,False
3865051,False
3865445,False
3866051,False
3869004,False
3871304,False
3872044,True
3873171,False
3874234,False
3874548,True
3877786,False
3880824,False
3881166,True
3883746,False
3884234,False
3885417,False
3886789,False
3891964,False
3892409,False
3893493,False
3893836,False
3902544,False
3905587,False
3909645,True
3914444,True
3918650,False
3920124,False
3920477,False
3920816,False
3921340,False
3927615,True
3928186,False
3929364,False
3930821,False
3933608,False
3938026,False
3944364,False
3948284,True
3948666,False
3949308,False
3950598,False
3951824,True
3952889,True
3954624,False
3956318,False
3964985,True
3965329,False
3965824,False
3970764,False
3971680,True
3972080,False
3975292,False
3975895,False
3977484,True
3979255,False
3981104,False
3985140,False
3986504,False
3987087,False
3987455,True
3989536,True
3993145,False
3996960,False
3997944,False
3998611,False
3999611,True
4000332,True
4001584,False
4002112,False
4002524,False
4004724,False
4006464,False
4007027,False
4008181,False
4018590,False
4020737,False
4021838,False
4022449,False
4023575,False
4024127,False
4027538,True
4029126,False
4029931,False
4030985,False
4032547,False
4032787,False
4035527,False
4036486,False
4037806,False
4040105,False
4044344,False
4045575,False
4046261,True
4046789,False
4054964,False
4056074,False
4057202,False
4061562,False
4067004,False
4071261,False
4073124,False
4087947,False
4088871,True
4089646,False
4090145,True
4099524,False
4100236,False
4101182,False
4112997,False
4119329,True
4119882,False
4120368,False
4120774,False
4121990,True
4122442,False
4123286,False
4127727,False
4131266,False
4145452,False
4167137,False
4168710,True
4197209,True
4204266,True
4205820,True
4206537,True
